,author,frequency,sentence
1,EAP,0.2824342312149186,"still, as i urged our leaving ireland with such inquietude and impatience, my father thought it best to yield."
2,EAP,1.08846854686201,"if a fire wanted fanning, it could readily be fanned with a newspaper, and as the government grew weaker, i have no doubt that leather and iron acquired durability in proportion, for, in a very short time, there was not a pair of bellows in all rotterdam that ever stood in need of a stitch or required the assistance of a hammer."
3,EAP,0.4527502918510031,"and when they had broken down the frail door they found only this: two cleanly picked human skeletons on the earthen floor, and a number of singular beetles crawling in the shadowy corners."
4,EAP,0.8841556136625042,"while i was thinking how i should possibly manage without them, one actually tumbled out of my head, and, rolling down the steep side of the steeple, lodged in the rain gutter which ran along the eaves of the main building."
5,MWS,0.09756911344137274,i am not sure to what limit his knowledge may extend.
6,EAP,0.7942051960247956,"""the thick and peculiar mist, or smoke, which distinguishes the indian summer, and which now hung heavily over all objects, served, no doubt, to deepen the vague impressions which these objects created."
7,EAP,0.16489258590758124,"that which is not matter, is not at all unless qualities are things."
8,MWS,0.34067895350068844,"i sought for repose although i did not hope for forgetfulness; i knew i should be pursued by dreams, but did not dread the frightful one that i really had."
9,EAP,0.8523126230405059,"upon the fourth day of the assassination, a party of the police came, very unexpectedly, into the house, and proceeded again to make rigorous investigation of the premises."
10,EAP,0.13586687286496454,"""the tone metaphysical is also a good one."
11,EAP,0.7363476193142902,"these, the offspring of a later period, stood erect and seemed ready to advance fearlessly into coming time; while those out worn stragglers, blasted and broke, clung to each other, their weak boughs sighing as the wind buffetted them a weather beaten crew."
12,EAP,0.754595307122026,"what kept him from going with her and brown jenkin and the other to the throne of chaos where the thin flutes pipe mindlessly was the fact that he had seen the name ""azathoth"" in the necronomicon, and knew it stood for a primal evil too horrible for description."
13,EAP,0.47915257668896655,"persuading the widow that my connexion with her husband's ""technical matters"" was sufficient to entitle me to his manuscript, i bore the document away and began to read it on the london boat."
14,EAP,0.44036547068782067,"when i arose trembling, i know not how much later, i staggered into the house and made shocking obeisances before the enshrined amulet of green jade."
15,EAP,0.24128647060597316,and by the shores of the river zaire there is neither quiet nor silence.
16,MWS,0.083974155280161,idris heard of her mother's return with pleasure.
17,EAP,0.34428510504482224,"i say this proudly, but with tears in my eyes for the firm proved themselves the basest of ingrates."
18,EAP,0.5123826672812409,"but let us glance at the treatise ah ""ability or inability to conceive,"" says mr. mill, very properly, ""is in no case to be received as a criterion of axiomatic truth."""
19,EAP,0.4614132050194064,"""what a place is this that you inhabit, my son"" said he, looking mournfully at the barred windows and wretched appearance of the room."
20,EAP,0.34768823851227065,"at his nod i took one of the latter and seated myself upon an aged, discoloured gravestone close by the newly uncovered aperture."
21,EAP,0.1886972891241885,no one doubted now that the mystery of this murder would be immediately brought to light.
22,EAP,0.4212648456312812,"but although, in one or two instances, arrests were made which promised elucidation, yet nothing was elicited which could implicate the parties suspected; and they were discharged forthwith."
23,EAP,0.3792770710651808,"festivity, and even libertinism, became the order of the day."
24,EAP,0.1863194034608575,"for i am iranon, who was a prince in aira."""
25,EAP,0.6630596323754303,"""gaze not on the star, dear, generous friend,"" i cried, ""read not love in its trembling rays; look not upon distant worlds; speak not of the mere imagination of a sentiment."
26,MWS,0.10543374642516681,i am serious in asserting that my breath was entirely gone.
27,EAP,0.4165736907628619,"the thing will haunt me, for who can say the extermination is complete, and that analogous phenomena do not exist all over the world?"
28,EAP,0.3366646707360676,"before each of the party lay a portion of a skull, which was used as a drinking cup."
29,EAP,0.577080973037706,"if she had been bred in that sphere of life to which by inheritance the delicate framework of her mind and person was adapted, she would have been the object almost of adoration, for her virtues were as eminent as her defects."
30,EAP,1.190433317968976,"or, if this mode of speech offend you, let me say, that my mother, the proud queen, instilled early into me a love of distinction, and all that, if the weakness of my physical nature and my peculiar opinions had not prevented such a design, might have made me long since struggle for the lost inheritance of my race."
31,MWS,0.13428662217985382,i have promised that someone should watch for him and give him instant notice if any new object should appear in sight.
32,EAP,1.3716307901731293,"the rope drags, either on land or sea, while the balloon is free; the latter, consequently, is always in advance, when any progress whatever is made: a comparison, therefore, by means of the compass, of the relative positions of the two objects, will always indicate the course."
33,HPL,0.25082341309758527,in his frenzied strains i could almost see shadowy satyrs and bacchanals dancing and whirling insanely through seething abysses of clouds and smoke and lightning.
34,HPL,0.15341062590891585,the cat and pigeons seemed to suffer no inconvenience whatsoever.
35,EAP,0.08543157332460292,did he think of this as we journeyed up to town?
36,EAP,0.20961148277540612,"all other art objects i had ever seen either belonged to some known racial or national stream, or else were consciously modernistic defiances of every recognised stream."
37,EAP,0.14155742895420415,it was a freak of fancy in my friend for what else shall i call it?
38,MWS,0.16849909967164495,"i am miserable, and they shall share my wretchedness."
39,EAP,0.5197187891737279,"i have frequently wondered if the majority of mankind ever pause to reflect upon the occasionally titanic significance of dreams, and of the obscure world to which they belong."
40,EAP,0.7191941035327971,in the most rugged of wildernesses in the most savage of the scenes of pure nature there is apparent the art of a creator; yet is this art apparent only to reflection; in no respect has it the obvious force of a feeling.
41,EAP,0.2268468460706732,doubtless you will play the part of the injured wife to admiration.
42,EAP,0.04928081881975885,grapple not now with such thoughts.
43,EAP,0.40782031455291873,"for the purpose of relieving m. valdemar from the mesmeric trance, i made use of the customary passes."
44,EAP,0.5490201991048466,"on a sudden, there presented itself to view a church a gothic cathedral vast, venerable, and with a tall steeple, which towered into the sky."
45,EAP,0.6244103748185355,"i lost sight of it entirely; the balloon passing over the western limb of the ice, and floating away rapidly in the direction of the equator."
46,EAP,0.30904328871925874,the energies of man were before directed to the destruction of his species: they now aim at its liberation and preservation.
47,EAP,0.25025092724617576,"pickman had promised to shew me the place, and heaven knows he had done it."
48,MWS,0.08375701726512022,nor in this matter was i disappointed.
49,EAP,0.45104441735339595,"the innumerable blossoms, mingling with those of other trees scarcely less beautiful, although infinitely less majestic, filled the valley with more than arabian perfumes."
50,EAP,0.49737441791340525,"through the fevered town had crept a curse which some said was greater than the plague, and which some whispered was the embodied daemon soul of the plague itself."
51,EAP,0.9868957822683824,"the matter of which our rudimental body is composed, is within the ken of the organs of that body; or, more distinctly, our rudimental organs are adapted to the matter of which is formed the rudimental body; but not to that of which the ultimate is composed."
52,EAP,0.5092595384661777,"monsieur maillard, it appeared, in giving me the account of the lunatic who had excited his fellows to rebellion, had been merely relating his own exploits."
53,EAP,0.18540184975381124,the ordinary accounts of this vortex had by no means prepared me for what i saw.
54,MWS,0.16661900222434062,justine has just returned to us; and i assure you i love her tenderly.
55,EAP,0.44743881898345395,"i again paused, and holding the flambeaux over the mason work, threw a few feeble rays upon the figure within."
